raceid;circuitid;circuitname;raceyear;racedate;racetime;roundnumber;raceurl;constructorid;constructorname;driverid;drivercode;q1;q2;q3;qualifyingposition;startinggrid;finishpositionorder;finishpositiontext;status;milliseconds;points;fastestlap;fastestlaptime;fastestlapspeed;drivertotalpoints;driverrank;driverwins;constructortotalpoints;constructorrank;constructorwins
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;27;Ligier;103;NA;1:24.678;NA;NA;17;17;12;12;+3 Laps;NA;0.0;NA;NA;NA;0.0;19;0.0;0.0;12;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;29;Footwork;104;NA;1:24.472;NA;NA;16;16;13;13;Spun off;NA;0.0;NA;NA;NA;3.0;10;0.0;3.0;8;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;17;Jordan;110;NA;1:25.234;NA;NA;21;21;14;R;Spun off;NA;0.0;NA;NA;NA;0.0;25;0.0;7.0;4;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;18;Minardi;105;NA;1:24.276;NA;NA;15;15;15;R;Wheel;NA;0.0;NA;NA;NA;0.0;24;0.0;0.0;11;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;29;Footwork;81;NA;1:23.663;NA;NA;11;11;16;R;Engine;NA;0.0;NA;NA;NA;0.0;22;0.0;3.0;8;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;18;Minardi;94;NA;1:24.078;NA;NA;14;14;17;R;Spun off;NA;0.0;NA;NA;NA;0.0;16;0.0;0.0;11;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;31;Simtek;101;NA;1:26.817;NA;NA;24;24;18;R;Spun off;NA;0.0;NA;NA;NA;0.0;21;0.0;0.0;13;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;30;Pacific;92;NA;1:27.143;NA;NA;25;25;19;R;Engine;NA;0.0;NA;NA;NA;0.0;28;0.0;0.0;14;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;33;Larrousse;106;NA;1:25.991;NA;NA;23;23;20;R;Engine;NA;0.0;NA;NA;NA;0.0;30;0.0;1.0;9;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;6;Ferrari;77;NA;1:22.113;NA;NA;3;3;21;R;Suspension;NA;0.0;NA;NA;NA;6.0;4;0.0;16.0;2;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;3;Williams;102;NA;1:21.548;NA;NA;1;1;22;R;Accident;NA;0.0;NA;NA;NA;0.0;23;0.0;7.0;3;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;33;Larrousse;100;NA;1:24.852;NA;NA;18;18;23;R;Withdrew;NA;0.0;NA;NA;NA;1.0;12;0.0;1.0;9;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;22;Benetton;109;NA;1:22.717;NA;NA;5;5;24;R;Collision;NA;0.0;NA;NA;NA;0.0;31;0.0;30.0;1;3.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;32;Team Lotus;83;NA;1:25.295;NA;NA;22;22;25;R;Collision;NA;0.0;NA;NA;NA;0.0;14;0.0;0.0;10;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;31;Simtek;107;NA;1:27.584;NA;NA;26;0;26;W;Accident;NA;0.0;NA;NA;NA;0.0;20;0.0;0.0;13;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;17;Jordan;22;BAR;NA;NA;NA;28;0;27;F;Injury;NA;0.0;NA;NA;NA;7.0;3;0.0;7.0;4;0.0
259;21;Autodromo Enzo e Dino Ferrari;1994;1994-05-01;NA;3;http://en.wikipedia.org/wiki/1994_San_Marino_Grand_Prix;30;Pacific;108;NA;1:27.881;NA;NA;27;0;28;F;Did not qualify;NA;0.0;NA;NA;NA;0.0;32;0.0;0.0;14;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;3;Williams;71;NA;1:22.559;NA;NA;2;2;1;1;Finished;5774300.0;10.0;NA;NA;NA;17.0;2;1.0;17.0;3;1.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;22;Benetton;30;MSC;1:21.908;NA;NA;1;1;2;2;Finished;5798466.0;6.0;NA;NA;NA;46.0;1;4.0;46.0;1;4.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;25;Tyrrell;87;NA;1:23.981;NA;NA;11;11;3;3;Finished;5861269.0;4.0;NA;NA;NA;4.0;8;0.0;8.0;6;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;6;Ferrari;55;NA;1:23.700;NA;NA;6;6;4;4;+1 Lap;NA;3.0;NA;NA;NA;9.0;4;0.0;25.0;2;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;18;Minardi;94;NA;1:25.247;NA;NA;18;18;5;5;+1 Lap;NA;2.0;NA;NA;NA;2.0;15;0.0;3.0;9;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;17;Jordan;56;NA;1:24.930;NA;NA;13;13;6;6;+1 Lap;NA;1.0;NA;NA;NA;1.0;18;0.0;11.0;4;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;27;Ligier;44;NA;1:25.577;NA;NA;19;19;7;7;+2 Laps;NA;0.0;NA;NA;NA;0.0;20;0.0;0.0;12;0.0
261;4;Circuit de Barcelona-Catalunya;1994;1994-05-29;NA;5;http://en.wikipedia.org/wiki/1994_Spanish_Grand_Prix;27;Ligier;103;NA;1:25.766;NA;NA;20;20;8;8;+3 Laps;NA;0.0;NA;NA;NA;0.0;23;0.0;0.0;12;0.0
